Status,Ticket ID,Priority,Source,Topic,Agent Group,Agent Name,Created time,Expected SLA to resolve,Expected SLA to first response,First response time,SLA For first response,Resolution time,SLA For Resolution,Close time,Agent interactions,Survey results,Product group,Support Level,Country
Resolved,266,High,Chat,Access Request,Security,Hassan Al-Rashid,03-05-2024 11.48,03-05-2024 13.48,03-05-2024 12.18,03-05-2024 12.14,Met,03-05-2024 13.47,Met,03-05-2024 13.49,1,Satisfied,Software,L3,Qatar
Closed,267,Medium,Phone,Software Bug,Security,Abdullah Al-Farsi,19-06-2024 11.27,19-06-2024 14.27,19-06-2024 12.12,19-06-2024 12.10,Met,19-06-2024 14.07,Met,19-06-2024 14.07,1,Neutral,Cloud,L3,Qatar
Open,268,Low,Portal,General Inquiry,Customer Service,Saif Al-Rashid,22-06-2024 19.05,22-06-2024 23.05,22-06-2024 20.05,22-06-2024 19.55,Met,22-06-2024 22.55,Met,22-06-2024 23.00,3,Neutral,Software,L2,Bahrain
In Progress,269,Medium,Phone,Software Bug,Network Ops,Hassan Al-Hamdan,13-04-2024 19.13,13-04-2024 22.13,13-04-2024 19.58,13-04-2024 19.56,Met,13-04-2024 21.56,Met,13-04-2024 21.56,4,Dissatisfied,Network,L2,UAE
Open,270,High,Chat,Network Issue,Network Ops,Mohammed Al-Hamdan,03-07-2024 17.50,03-07-2024 19.50,03-07-2024 18.20,03-07-2024 18.14,Met,03-07-2024 19.33,Met,03-07-2024 19.34,5,Satisfied,Network,L2,Bahrain
Closed,271,Critical,Portal,Network Issue,Network Ops,Khalid Al-Farsi,25-06-2024 12.51,25-06-2024 13.51,25-06-2024 13.01,25-06-2024 13.00,Met,25-06-2024 13.50,Met,25-06-2024 13.51,4,Satisfied,Hardware,L1,Bahrain
Open,272,Critical,Chat,Hardware Failure,Network Ops,Abdullah Al-Rashid,30-05-2024 17.09,30-05-2024 18.09,30-05-2024 17.19,30-05-2024 17.12,Met,30-05-2024 17.52,Met,30-05-2024 17.54,3,Satisfied,Cloud,L2,UAE
Closed,273,Medium,Portal,Access Request,IT Support,Yousef Al-Khalifa,13-05-2024 17.52,13-05-2024 20.52,13-05-2024 18.37,13-05-2024 18.45,Not Met,13-05-2024 20.37,Met,13-05-2024 20.38,2,Neutral,Hardware,L2,Kuwait
Resolved,274,Low,Portal,Software Bug,Customer Service,Saif Al-Rashid,06-06-2024 13.43,06-06-2024 17.43,06-06-2024 14.43,06-06-2024 14.34,Met,06-06-2024 17.59,Not Met,06-06-2024 17.31,1,Dissatisfied,Network,L2,Saudi Arabia
In Progress,275,Medium,Portal,Hardware Failure,Network Ops,Abdullah Al-Rashid,24-04-2024 18.54,24-04-2024 21.54,24-04-2024 19.39,24-04-2024 19.29,Met,24-04-2024 21.34,Met,24-04-2024 21.34,1,Dissatisfied,Cloud,L2,Bahrain
Resolved,276,Critical,Phone,Software Bug,Customer Service,Yousef Al-Khalifa,23-04-2024 7.57,23-04-2024 8.57,23-04-2024 8.07,23-04-2024 7.59,Met,23-04-2024 8.52,Met,23-04-2024 8.56,5,Dissatisfied,Software,L2,Saudi Arabia
New,277,Critical,Email,Software Bug,Customer Service,Mohammed Al-Rashid,24-06-2024 12.55,24-06-2024 13.55,24-06-2024 13.05,24-06-2024 13.03,Met,24-06-2024 13.53,Met,24-06-2024 13.58,1,Satisfied,Software,L2,UAE
Open,278,Medium,Chat,Access Request,Customer Service,Omar Al-Mansoori,21-05-2024 15.40,21-05-2024 18.40,21-05-2024 16.25,21-05-2024 16.20,Met,21-05-2024 18.38,Met,21-05-2024 18.40,2,Dissatisfied,Network,L2,Saudi Arabia
Resolved,279,High,Portal,General Inquiry,Customer Service,Mohammed Al-Hamdan,11-08-2024 16.56,11-08-2024 18.56,11-08-2024 17.26,11-08-2024 17.19,Met,11-08-2024 18.39,Met,11-08-2024 18.41,4,Neutral,Network,L2,Kuwait
Open,280,Medium,Phone,Network Issue,Customer Service,Mohammed Al-Rashid,07-04-2024 2.45,07-04-2024 5.45,07-04-2024 3.30,07-04-2024 3.21,Met,07-04-2024 5.35,Met,07-04-2024 5.39,3,Satisfied,Software,L2,Bahrain
New,281,Low,Chat,General Inquiry,Development,Abdullah Al-Rashid,28-07-2024 8.38,28-07-2024 12.38,28-07-2024 9.38,28-07-2024 9.33,Met,28-07-2024 12.18,Met,28-07-2024 12.21,5,Neutral,Software,L2,Kuwait
Closed,282,High,Portal,Access Request,Development,Yousef Al-Khalifa,06-06-2024 1.26,06-06-2024 3.26,06-06-2024 1.56,06-06-2024 1.48,Met,06-06-2024 3.23,Met,06-06-2024 3.28,1,Neutral,Cloud,L2,Oman
Closed,283,Low,Email,Software Bug,Customer Service,Ahmed Al-Salem,19-05-2024 12.32,19-05-2024 16.32,19-05-2024 13.32,19-05-2024 13.28,Met,19-05-2024 16.22,Met,19-05-2024 16.23,4,Neutral,Network,L3,Kuwait
Open,284,Critical,Phone,Network Issue,Customer Service,Saif Al-Khalifa,08-04-2024 9.52,08-04-2024 10.52,08-04-2024 10.02,08-04-2024 9.52,Met,08-04-2024 10.50,Met,08-04-2024 10.55,4,Neutral,Software,L1,Qatar
Open,285,Critical,Portal,Hardware Failure,Development,Ali Al-Khalifa,05-07-2024 6.16,05-07-2024 7.16,05-07-2024 6.26,05-07-2024 6.24,Met,05-07-2024 7.14,Met,05-07-2024 7.17,3,Dissatisfied,Software,L3,Qatar
New,286,Medium,Email,Network Issue,Development,Ahmed Al-Nasser,29-04-2024 5.51,29-04-2024 8.51,29-04-2024 6.36,29-04-2024 6.36,Met,29-04-2024 8.42,Met,29-04-2024 8.42,2,Neutral,Cloud,L1,UAE
New,287,Critical,Portal,Network Issue,Network Ops,Yousef Al-Khalifa,09-06-2024 18.44,09-06-2024 19.44,09-06-2024 18.54,09-06-2024 18.48,Met,09-06-2024 19.24,Met,09-06-2024 19.27,2,Satisfied,Network,L1,Oman
New,288,Low,Phone,Hardware Failure,Development,Abdullah Al-Farsi,12-05-2024 1.28,12-05-2024 5.28,12-05-2024 2.28,12-05-2024 2.18,Met,12-05-2024 5.25,Met,12-05-2024 5.25,2,Satisfied,Cloud,L1,Qatar
Resolved,289,High,Portal,Network Issue,Network Ops,Ali Al-Khalifa,29-07-2024 6.19,29-07-2024 8.19,29-07-2024 6.49,29-07-2024 6.43,Met,29-07-2024 8.09,Met,29-07-2024 8.09,4,Neutral,Network,L3,Qatar
Open,290,Critical,Chat,Hardware Failure,Security,Abdullah Al-Farsi,10-06-2024 18.49,10-06-2024 19.49,10-06-2024 18.59,10-06-2024 18.57,Met,10-06-2024 19.29,Met,10-06-2024 19.34,1,Neutral,Cloud,L3,Oman
New,291,Critical,Email,Access Request,Security,Abdullah Al-Farsi,02-08-2024 17.08,02-08-2024 18.08,02-08-2024 17.18,02-08-2024 17.09,Met,02-08-2024 18.00,Met,02-08-2024 18.03,3,Neutral,Hardware,L1,Saudi Arabia
Resolved,292,Critical,Email,Software Bug,Network Ops,Saif Al-Rashid,24-07-2024 15.23,24-07-2024 16.23,24-07-2024 15.33,24-07-2024 15.29,Met,24-07-2024 16.04,Met,24-07-2024 16.05,2,Neutral,Cloud,L2,UAE
New,293,Critical,Chat,Network Issue,Development,Saif Al-Rashid,30-06-2024 3.12,30-06-2024 4.12,30-06-2024 3.22,30-06-2024 3.18,Met,30-06-2024 3.53,Met,30-06-2024 3.55,5,Dissatisfied,Software,L3,Oman
Closed,294,Critical,Portal,Access Request,Network Ops,Ahmed Al-Nasser,20-07-2024 1.47,20-07-2024 2.47,20-07-2024 1.57,20-07-2024 1.55,Met,20-07-2024 2.35,Met,20-07-2024 2.40,2,Neutral,Cloud,L2,Saudi Arabia
Resolved,295,Medium,Portal,Software Bug,Security,Saif Al-Rashid,23-07-2024 5.05,23-07-2024 8.05,23-07-2024 5.50,23-07-2024 5.50,Met,23-07-2024 8.01,Met,23-07-2024 8.02,5,Satisfied,Software,L1,Qatar
New,296,High,Chat,General Inquiry,Development,Khalid Al-Farsi,07-08-2024 5.52,07-08-2024 7.52,07-08-2024 6.22,07-08-2024 6.18,Met,07-08-2024 7.52,Met,07-08-2024 7.57,5,Neutral,Hardware,L3,Bahrain
In Progress,297,Medium,Email,Software Bug,Network Ops,Ali Al-Khalifa,19-04-2024 9.19,19-04-2024 12.19,19-04-2024 10.04,19-04-2024 9.54,Met,19-04-2024 12.18,Met,19-04-2024 12.22,5,Neutral,Hardware,L3,Kuwait
Resolved,298,Medium,Phone,General Inquiry,IT Support,Yousef Al-Khalifa,15-04-2024 19.21,15-04-2024 22.21,15-04-2024 20.06,15-04-2024 19.59,Met,15-04-2024 22.20,Met,15-04-2024 22.24,2,Dissatisfied,Hardware,L2,Oman
In Progress,299,Critical,Chat,Hardware Failure,Network Ops,Fahad Al-Farsi,05-04-2024 22.28,05-04-2024 23.28,05-04-2024 22.38,05-04-2024 22.38,Met,05-04-2024 23.11,Met,05-04-2024 23.12,3,Satisfied,Network,L3,Kuwait
New,300,Low,Chat,Hardware Failure,Development,Abdullah Al-Rashid,29-06-2024 2.29,29-06-2024 6.29,29-06-2024 3.29,29-06-2024 3.21,Met,29-06-2024 6.19,Met,29-06-2024 6.23,5,Satisfied,Hardware,L2,Qatar
Resolved,301,Medium,Chat,Network Issue,IT Support,Khalid Al-Rashid,02-06-2024 12.07,02-06-2024 15.07,02-06-2024 12.52,02-06-2024 12.45,Met,02-06-2024 14.58,Met,02-06-2024 15.00,3,Satisfied,Software,L3,Oman
New,302,Medium,Chat,Network Issue,Network Ops,Mohammed Al-Hamdan,14-04-2024 11.57,14-04-2024 14.57,14-04-2024 12.42,14-04-2024 12.35,Met,14-04-2024 14.56,Met,14-04-2024 15.01,1,Dissatisfied,Software,L3,Oman
In Progress,303,High,Chat,Access Request,Security,Khalid Al-Farsi,18-06-2024 2.36,18-06-2024 4.36,18-06-2024 3.06,18-06-2024 3.06,Met,18-06-2024 4.36,Met,18-06-2024 4.38,4,Satisfied,Network,L3,Bahrain
New,304,Critical,Email,Hardware Failure,IT Support,Mohammed Al-Rashid,07-05-2024 22.30,07-05-2024 23.30,07-05-2024 22.40,07-05-2024 22.39,Met,07-05-2024 23.26,Met,07-05-2024 23.29,4,Satisfied,Hardware,L1,Qatar
New,305,Critical,Phone,Software Bug,Security,Ahmed Al-Salem,17-05-2024 16.13,17-05-2024 17.13,17-05-2024 16.23,17-05-2024 16.20,Met,17-05-2024 16.56,Met,17-05-2024 16.58,5,Satisfied,Network,L2,UAE
In Progress,306,Medium,Chat,Software Bug,Network Ops,Fahad Al-Farsi,26-04-2024 2.42,26-04-2024 5.42,26-04-2024 3.27,26-04-2024 3.18,Met,26-04-2024 5.38,Met,26-04-2024 5.42,5,Dissatisfied,Hardware,L2,Kuwait
Resolved,307,Medium,Email,General Inquiry,Customer Service,Saif Al-Khalifa,28-07-2024 14.15,28-07-2024 17.15,28-07-2024 15.00,28-07-2024 14.54,Met,28-07-2024 17.09,Met,28-07-2024 17.12,4,Dissatisfied,Software,L1,Qatar
Closed,308,Medium,Email,Software Bug,Network Ops,Mohammed Al-Hamdan,25-05-2024 2.08,25-05-2024 5.08,25-05-2024 2.53,25-05-2024 2.47,Met,25-05-2024 4.59,Met,25-05-2024 5.01,5,Dissatisfied,Network,L1,Qatar
Open,309,Critical,Chat,Network Issue,Network Ops,Saif Al-Rashid,02-07-2024 1.36,02-07-2024 2.36,02-07-2024 1.46,02-07-2024 1.38,Met,02-07-2024 2.36,Met,02-07-2024 2.36,4,Neutral,Software,L1,Bahrain
Open,310,Critical,Portal,Access Request,IT Support,Yousef Al-Khalifa,23-05-2024 11.49,23-05-2024 12.49,23-05-2024 11.59,23-05-2024 11.53,Met,23-05-2024 12.36,Met,23-05-2024 12.37,1,Dissatisfied,Network,L3,UAE
Closed,311,Critical,Email,Network Issue,Security,Ahmed Al-Salem,07-04-2024 7.19,07-04-2024 8.19,07-04-2024 7.29,07-04-2024 7.26,Met,07-04-2024 8.02,Met,07-04-2024 8.03,3,Satisfied,Cloud,L2,Oman
Resolved,312,High,Portal,Software Bug,Customer Service,Saif Al-Rashid,03-06-2024 19.20,03-06-2024 21.20,03-06-2024 19.50,03-06-2024 19.44,Met,03-06-2024 21.07,Met,03-06-2024 21.07,5,Neutral,Network,L3,Saudi Arabia
Resolved,313,High,Email,Hardware Failure,IT Support,Saif Al-Rashid,04-07-2024 17.53,04-07-2024 19.53,04-07-2024 18.23,04-07-2024 18.16,Met,04-07-2024 19.52,Met,04-07-2024 19.54,5,Dissatisfied,Software,L3,Kuwait
In Progress,314,High,Chat,Network Issue,Security,Saif Al-Khalifa,10-08-2024 5.48,10-08-2024 7.48,10-08-2024 6.18,10-08-2024 6.13,Met,10-08-2024 7.38,Met,10-08-2024 7.43,4,Satisfied,Hardware,L1,Saudi Arabia
Resolved,315,Medium,Email,Network Issue,Security,Yousef Al-Sabah,11-04-2024 10.24,11-04-2024 13.24,11-04-2024 11.09,11-04-2024 11.03,Met,11-04-2024 13.12,Met,11-04-2024 13.14,2,Satisfied,Software,L1,Kuwait
Closed,316,Critical,Phone,General Inquiry,Security,Ahmed Al-Nasser,02-08-2024 3.28,02-08-2024 4.28,02-08-2024 3.38,02-08-2024 3.36,Met,02-08-2024 4.09,Met,02-08-2024 4.14,2,Satisfied,Hardware,L1,UAE
In Progress,317,Medium,Portal,Network Issue,Customer Service,Saif Al-Khalifa,20-07-2024 22.26,21-07-2024 1.26,20-07-2024 23.11,20-07-2024 23.02,Met,21-07-2024 1.22,Met,21-07-2024 1.25,2,Satisfied,Network,L1,Bahrain
Closed,318,Low,Phone,General Inquiry,Network Ops,Hassan Al-Rashid,08-08-2024 13.59,08-08-2024 17.59,08-08-2024 14.59,08-08-2024 14.53,Met,08-08-2024 17.51,Met,08-08-2024 17.51,3,Satisfied,Cloud,L2,Oman
Resolved,319,Critical,Portal,Hardware Failure,Security,Saif Al-Khalifa,30-06-2024 11.14,30-06-2024 12.14,30-06-2024 11.24,30-06-2024 11.18,Met,30-06-2024 12.06,Met,30-06-2024 12.08,5,Dissatisfied,Network,L3,Oman
Open,320,Critical,Chat,Access Request,Security,Fahad Al-Rashid,11-06-2024 10.53,11-06-2024 11.53,11-06-2024 11.03,11-06-2024 11.01,Met,11-06-2024 11.44,Met,11-06-2024 11.49,5,Dissatisfied,Software,L1,Saudi Arabia
In Progress,321,Low,Chat,Access Request,IT Support,Khalid Al-Farsi,09-05-2024 23.49,10-05-2024 3.49,10-05-2024 0.49,10-05-2024 0.49,Met,10-05-2024 3.48,Met,10-05-2024 3.51,3,Dissatisfied,Network,L1,UAE
New,322,Critical,Email,Software Bug,Security,Khalid Al-Rashid,10-04-2024 13.20,10-04-2024 14.20,10-04-2024 13.30,10-04-2024 13.28,Met,10-04-2024 14.09,Met,10-04-2024 14.09,2,Satisfied,Cloud,L2,Saudi Arabia
Closed,323,Low,Portal,Hardware Failure,Development,Mohammed Al-Hamdan,29-06-2024 0.06,29-06-2024 4.06,29-06-2024 1.06,29-06-2024 1.11,Not Met,29-06-2024 3.46,Met,29-06-2024 3.50,2,Dissatisfied,Cloud,L2,Kuwait
Open,324,Medium,Chat,Access Request,Customer Service,Hassan Al-Rashid,29-06-2024 1.50,29-06-2024 4.50,29-06-2024 2.35,29-06-2024 2.33,Met,29-06-2024 4.33,Met,29-06-2024 4.36,2,Satisfied,Hardware,L1,Saudi Arabia
In Progress,325,Medium,Chat,General Inquiry,Development,Fahad Al-Rashid,26-05-2024 11.52,26-05-2024 14.52,26-05-2024 12.37,26-05-2024 12.28,Met,26-05-2024 14.52,Met,26-05-2024 14.52,3,Dissatisfied,Software,L2,Oman
In Progress,326,Critical,Portal,General Inquiry,Security,Mohammed Al-Rashid,28-04-2024 10.36,28-04-2024 11.36,28-04-2024 10.46,28-04-2024 10.42,Met,28-04-2024 11.27,Met,28-04-2024 11.27,3,Satisfied,Cloud,L1,Bahrain
New,327,Critical,Chat,General Inquiry,Security,Omar Al-Mansoori,02-05-2024 10.56,02-05-2024 11.56,02-05-2024 11.06,02-05-2024 11.02,Met,02-05-2024 11.38,Met,02-05-2024 11.43,2,Satisfied,Software,L3,Saudi Arabia
Open,328,High,Portal,Network Issue,IT Support,Hassan Al-Hamdan,08-05-2024 2.41,08-05-2024 4.41,08-05-2024 3.11,08-05-2024 3.07,Met,08-05-2024 4.37,Met,08-05-2024 4.38,5,Neutral,Network,L1,Oman
Resolved,329,Critical,Phone,Hardware Failure,Network Ops,Hassan Al-Hamdan,24-04-2024 4.58,24-04-2024 5.58,24-04-2024 5.08,24-04-2024 5.04,Met,24-04-2024 5.47,Met,24-04-2024 5.50,1,Satisfied,Software,L1,Saudi Arabia
In Progress,330,Medium,Portal,Hardware Failure,Development,Khalid Al-Farsi,16-05-2024 16.18,16-05-2024 19.18,16-05-2024 17.03,16-05-2024 17.15,Not Met,16-05-2024 19.09,Met,16-05-2024 19.13,1,Satisfied,Cloud,L1,Kuwait
Resolved,331,Medium,Portal,Network Issue,Security,Ahmed Al-Nasser,21-07-2024 23.17,22-07-2024 2.17,22-07-2024 0.02,21-07-2024 23.59,Met,22-07-2024 1.57,Met,22-07-2024 2.00,2,Satisfied,Hardware,L3,Saudi Arabia
New,332,Low,Email,General Inquiry,Security,Yousef Al-Khalifa,06-06-2024 7.39,06-06-2024 11.39,06-06-2024 8.39,06-06-2024 8.29,Met,06-06-2024 11.28,Met,06-06-2024 11.29,2,Neutral,Software,L2,Bahrain
In Progress,333,Medium,Phone,Hardware Failure,Customer Service,Ahmed Al-Salem,29-05-2024 8.28,29-05-2024 11.28,29-05-2024 9.13,29-05-2024 9.07,Met,29-05-2024 11.11,Met,29-05-2024 11.12,1,Satisfied,Software,L1,UAE
Open,334,Medium,Portal,Hardware Failure,Network Ops,Saif Al-Khalifa,17-06-2024 9.26,17-06-2024 12.26,17-06-2024 10.11,17-06-2024 10.10,Met,17-06-2024 12.24,Met,17-06-2024 12.25,5,Satisfied,Network,L2,UAE
Resolved,335,Medium,Phone,Hardware Failure,Network Ops,Khalid Al-Farsi,22-07-2024 21.15,23-07-2024 0.15,22-07-2024 22.00,22-07-2024 22.00,Met,23-07-2024 0.06,Met,23-07-2024 0.07,1,Dissatisfied,Software,L2,Oman
Resolved,336,Low,Phone,Hardware Failure,Network Ops,Ahmed Al-Nasser,09-08-2024 11.06,09-08-2024 15.06,09-08-2024 12.06,09-08-2024 12.13,Not Met,09-08-2024 14.49,Met,09-08-2024 14.53,5,Dissatisfied,Software,L1,UAE
In Progress,337,Critical,Email,Hardware Failure,Network Ops,Fahad Al-Rashid,21-05-2024 18.45,21-05-2024 19.45,21-05-2024 18.55,21-05-2024 18.47,Met,21-05-2024 19.41,Met,21-05-2024 19.43,1,Dissatisfied,Hardware,L1,Saudi Arabia
New,338,High,Portal,General Inquiry,Network Ops,Abdullah Al-Rashid,13-06-2024 11.26,13-06-2024 13.26,13-06-2024 11.56,13-06-2024 11.48,Met,13-06-2024 13.06,Met,13-06-2024 13.08,4,Satisfied,Software,L3,Qatar
Open,339,High,Phone,Hardware Failure,Network Ops,Yousef Al-Khalifa,23-06-2024 2.51,23-06-2024 4.51,23-06-2024 3.21,23-06-2024 3.14,Met,23-06-2024 4.35,Met,23-06-2024 4.35,4,Satisfied,Hardware,L1,Bahrain
Open,340,High,Email,Software Bug,Network Ops,Omar Al-Mansoori,20-07-2024 11.35,20-07-2024 13.35,20-07-2024 12.05,20-07-2024 11.56,Met,20-07-2024 13.29,Met,20-07-2024 13.34,2,Dissatisfied,Software,L1,Kuwait
Resolved,341,High,Chat,Software Bug,Customer Service,Yousef Al-Khalifa,29-06-2024 11.44,29-06-2024 13.44,29-06-2024 12.14,29-06-2024 12.11,Met,29-06-2024 13.38,Met,29-06-2024 13.38,1,Neutral,Cloud,L3,Saudi Arabia
In Progress,342,High,Portal,Software Bug,Development,Ahmed Al-Nasser,08-06-2024 0.58,08-06-2024 2.58,08-06-2024 1.28,08-06-2024 1.20,Met,08-06-2024 2.56,Met,08-06-2024 3.01,2,Neutral,Network,L2,Kuwait
In Progress,343,Medium,Phone,General Inquiry,Network Ops,Yousef Al-Khalifa,13-06-2024 2.42,13-06-2024 5.42,13-06-2024 3.27,13-06-2024 3.17,Met,13-06-2024 5.23,Met,13-06-2024 5.25,1,Satisfied,Cloud,L2,UAE
Open,344,High,Email,Access Request,IT Support,Abdullah Al-Rashid,03-05-2024 13.33,03-05-2024 15.33,03-05-2024 14.03,03-05-2024 13.53,Met,03-05-2024 15.31,Met,03-05-2024 15.33,4,Dissatisfied,Hardware,L1,Saudi Arabia
In Progress,345,Medium,Phone,Access Request,Security,Mohammed Al-Rashid,08-05-2024 9.48,08-05-2024 12.48,08-05-2024 10.33,08-05-2024 10.27,Met,08-05-2024 12.33,Met,08-05-2024 12.36,1,Dissatisfied,Cloud,L3,Saudi Arabia
In Progress,346,Medium,Email,Network Issue,IT Support,Yousef Al-Khalifa,18-06-2024 12.43,18-06-2024 15.43,18-06-2024 13.28,18-06-2024 13.21,Met,18-06-2024 15.32,Met,18-06-2024 15.34,1,Neutral,Cloud,L1,Qatar
Open,347,High,Portal,General Inquiry,Development,Mohammed Al-Hamdan,21-07-2024 3.19,21-07-2024 5.19,21-07-2024 3.49,21-07-2024 3.40,Met,21-07-2024 5.02,Met,21-07-2024 5.06,3,Neutral,Cloud,L2,Qatar
Resolved,348,Medium,Phone,Access Request,Customer Service,Fahad Al-Rashid,08-04-2024 18.29,08-04-2024 21.29,08-04-2024 19.14,08-04-2024 19.13,Met,08-04-2024 21.25,Met,08-04-2024 21.29,5,Neutral,Hardware,L2,UAE
Open,349,Medium,Chat,Network Issue,Development,Hassan Al-Rashid,30-05-2024 22.24,31-05-2024 1.24,30-05-2024 23.09,30-05-2024 23.05,Met,31-05-2024 1.21,Met,31-05-2024 1.22,2,Dissatisfied,Hardware,L2,Oman
In Progress,350,High,Portal,Access Request,Network Ops,Yousef Al-Khalifa,31-07-2024 12.22,31-07-2024 14.22,31-07-2024 12.52,31-07-2024 12.47,Met,31-07-2024 14.02,Met,31-07-2024 14.06,3,Satisfied,Network,L1,Bahrain
New,351,Low,Chat,Software Bug,IT Support,Abdullah Al-Rashid,19-05-2024 18.18,19-05-2024 22.18,19-05-2024 19.18,19-05-2024 19.17,Met,19-05-2024 22.12,Met,19-05-2024 22.17,2,Neutral,Network,L3,Oman
New,352,High,Phone,Software Bug,Development,Ahmed Al-Nasser,03-04-2024 12.54,03-04-2024 14.54,03-04-2024 13.24,03-04-2024 13.23,Met,03-04-2024 14.36,Met,03-04-2024 14.40,5,Neutral,Hardware,L1,Bahrain
Open,353,Low,Email,Access Request,Development,Hassan Al-Rashid,23-06-2024 5.17,23-06-2024 9.17,23-06-2024 6.17,23-06-2024 6.21,Not Met,23-06-2024 9.13,Met,23-06-2024 9.18,2,Dissatisfied,Cloud,L1,Kuwait
Closed,354,Medium,Phone,Access Request,Network Ops,Yousef Al-Khalifa,11-07-2024 13.27,11-07-2024 16.27,11-07-2024 14.12,11-07-2024 14.04,Met,11-07-2024 16.16,Met,11-07-2024 16.16,3,Neutral,Network,L3,Oman
Resolved,355,Critical,Email,Access Request,IT Support,Mohammed Al-Hamdan,25-05-2024 12.40,25-05-2024 13.40,25-05-2024 12.50,25-05-2024 12.49,Met,25-05-2024 13.37,Met,25-05-2024 13.42,1,Neutral,Software,L1,UAE
New,356,Critical,Phone,Network Issue,Development,Ahmed Al-Salem,24-06-2024 10.12,24-06-2024 11.12,24-06-2024 10.22,24-06-2024 10.15,Met,24-06-2024 10.57,Met,24-06-2024 10.58,3,Satisfied,Network,L2,Saudi Arabia
New,357,Critical,Email,Network Issue,Security,Abdullah Al-Farsi,03-05-2024 14.02,03-05-2024 15.02,03-05-2024 14.12,03-05-2024 14.09,Met,03-05-2024 14.54,Met,03-05-2024 14.58,3,Satisfied,Software,L1,Qatar
New,358,High,Portal,Software Bug,IT Support,Saif Al-Rashid,12-06-2024 4.06,12-06-2024 6.06,12-06-2024 4.36,12-06-2024 4.33,Met,12-06-2024 5.46,Met,12-06-2024 5.48,1,Dissatisfied,Cloud,L3,UAE
Open,359,Medium,Phone,Network Issue,IT Support,Abdullah Al-Rashid,14-05-2024 18.11,14-05-2024 21.11,14-05-2024 18.56,14-05-2024 18.55,Met,14-05-2024 21.09,Met,14-05-2024 21.10,3,Neutral,Hardware,L3,UAE
Open,360,High,Portal,General Inquiry,Security,Abdullah Al-Rashid,06-04-2024 1.35,06-04-2024 3.35,06-04-2024 2.05,06-04-2024 1.59,Met,06-04-2024 3.22,Met,06-04-2024 3.26,1,Dissatisfied,Hardware,L1,Kuwait
New,361,Low,Portal,General Inquiry,Network Ops,Saif Al-Rashid,16-05-2024 22.47,17-05-2024 2.47,16-05-2024 23.47,16-05-2024 23.39,Met,17-05-2024 2.35,Met,17-05-2024 2.37,1,Neutral,Hardware,L1,Saudi Arabia
Open,362,Medium,Phone,General Inquiry,Network Ops,Abdullah Al-Farsi,23-06-2024 3.12,23-06-2024 6.12,23-06-2024 3.57,23-06-2024 3.49,Met,23-06-2024 5.52,Met,23-06-2024 5.55,4,Neutral,Software,L3,Kuwait
Resolved,363,Medium,Chat,Access Request,Network Ops,Yousef Al-Khalifa,10-06-2024 7.59,10-06-2024 10.59,10-06-2024 8.44,10-06-2024 8.41,Met,10-06-2024 10.52,Met,10-06-2024 10.54,3,Dissatisfied,Cloud,L1,UAE
Closed,364,High,Portal,Access Request,IT Support,Mohammed Al-Rashid,16-06-2024 14.01,16-06-2024 16.01,16-06-2024 14.31,16-06-2024 14.31,Met,16-06-2024 15.45,Met,16-06-2024 15.47,1,Neutral,Cloud,L2,Oman
New,365,Low,Email,Network Issue,Development,Omar Al-Salem,01-07-2024 14.48,01-07-2024 18.48,01-07-2024 15.48,01-07-2024 15.47,Met,01-07-2024 18.33,Met,01-07-2024 18.35,4,Satisfied,Network,L3,Qatar
In Progress,366,Low,Phone,Network Issue,Customer Service,Hassan Al-Rashid,19-05-2024 15.57,19-05-2024 19.57,19-05-2024 16.57,19-05-2024 17.10,Not Met,19-05-2024 19.42,Met,19-05-2024 19.46,4,Neutral,Hardware,L3,Oman
Open,367,Medium,Chat,Access Request,IT Support,Omar Al-Mansoori,03-07-2024 1.26,03-07-2024 4.26,03-07-2024 2.11,03-07-2024 2.06,Met,03-07-2024 4.13,Met,03-07-2024 4.16,3,Dissatisfied,Cloud,L3,Oman
Closed,368,Low,Chat,Network Issue,Security,Fahad Al-Rashid,26-07-2024 15.00,26-07-2024 19.00,26-07-2024 16.00,26-07-2024 15.59,Met,26-07-2024 19.00,Met,26-07-2024 19.03,2,Satisfied,Network,L2,Qatar
Open,369,Medium,Email,Hardware Failure,Development,Mohammed Al-Hamdan,26-07-2024 4.43,26-07-2024 7.43,26-07-2024 5.28,26-07-2024 5.23,Met,26-07-2024 7.31,Met,26-07-2024 7.36,2,Dissatisfied,Hardware,L3,Qatar
In Progress,370,Critical,Portal,General Inquiry,Development,Mohammed Al-Hamdan,04-07-2024 17.18,04-07-2024 18.18,04-07-2024 17.28,04-07-2024 17.18,Met,04-07-2024 18.08,Met,04-07-2024 18.11,2,Dissatisfied,Software,L2,Qatar
Closed,371,Medium,Portal,Access Request,Customer Service,Saif Al-Khalifa,13-07-2024 4.45,13-07-2024 7.45,13-07-2024 5.30,13-07-2024 5.25,Met,13-07-2024 7.27,Met,13-07-2024 7.31,2,Satisfied,Cloud,L2,Bahrain
Open,372,High,Email,Network Issue,Network Ops,Ahmed Al-Salem,28-04-2024 15.20,28-04-2024 17.20,28-04-2024 15.50,28-04-2024 15.46,Met,28-04-2024 17.48,Not Met,28-04-2024 17.18,4,Dissatisfied,Cloud,L3,Oman
